"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed"
7,21,10.1723232357531,4.17232323575309,0.17658549524052,43.2787378436797,0.309187312965073,59.4015889587377,NA,NA,0,0,8460,210,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
8,24,10.7070012090288,4.70700120902881,0.143722698553307,35.2245068849091,0.292183707342919,56.1348275179222,NA,NA,0,0,9660,240,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
9,27,10.8026371906827,4.80263719068274,0.179961737281845,44.1062095111814,0.28082495745271,53.9525652976753,NA,NA,0,0,10860,270,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
10,30,11.3135306567479,5.31353065674788,0.144527002398681,35.4216309761215,0.257875951241109,49.5435634504779,NA,NA,0,0,12060,300,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
11,33,11.6345839875648,5.63458398756475,0.133943003337608,32.8276346794381,0.24018922508537,46.1455597385737,NA,NA,0,0,13260,330,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
12,36,11.9872544243053,5.98725442430528,0.128803692687196,31.5680585288971,0.215622678104109,41.4257932257698,NA,NA,0,0,14460,360,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
13,39,12.2850590113516,6.28505901135162,0.115202997535174,28.2347104576163,0.203727396291545,39.140451586095,NA,NA,0,0,15660,390,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
14,42,12.5498356485543,6.54983564855432,0.124444737408346,30.4997370196547,0.180276625742975,34.6350499267157,NA,NA,0,0,16860,420,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
15,45,12.828857896948,6.82885789694796,0.109868587527032,26.9273180697047,0.161569618987859,31.0410281822295,NA,NA,0,0,18060,450,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
16,48,13.0920568010193,7.09205680101935,0.119503922404385,29.2888094913246,0.153392568686735,29.4700394627243,NA,NA,0,0,19260,480,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
17,51,13.4916852168965,7.49168521689647,0.0822082474967424,20.1481395012304,0.145531582258869,27.9597734685595,NA,NA,0,0,20460,510,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
18,54,13.5771687951814,7.57716879518143,0.0723033912658943,17.7205920086668,0.135107987127425,25.9571747605709,NA,NA,0,0,21660,540,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
19,57,13.6755625019706,7.67556250197065,0.0639983811803146,15.6851453611755,0.127102967133171,24.4192367942777,NA,NA,0,0,22860,570,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
20,60,13.7009276353351,7.70092763533511,0.0667069796707355,16.3489865437768,0.116306885872399,22.3450754217834,NA,NA,0,0,24060,600,0,"PSRS","PSRS","strategy_comparison","PSRS",5,9005
1,3,6.5148767430373,0.514876743037302,0.353038576667386,86.5250228365732,0.48808025902062,93.7708040060888,NA,NA,0,1320,320,30,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
2,6,7.36348080436026,1.36348080436026,0.328789299529089,80.5818500593436,0.394391402548195,75.7711426072466,NA,NA,0,2520,520,60,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
3,9,8.04496325108659,2.04496325108659,0.273860053607192,67.1194281828084,0.351305642870558,67.4934336618118,NA,NA,0,3720,720,90,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
4,12,8.67428965481402,2.67428965481402,0.240049995696513,58.8330361957266,0.281966002991581,54.1717848944732,NA,NA,0,4920,920,120,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
5,15,9.47324432031335,3.47324432031335,0.183048888081951,44.8628287905833,0.24271292014623,46.6304162976116,NA,NA,0,6120,1120,150,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
6,18,9.96990866095503,3.96990866095503,0.132240361069645,32.4103398826237,0.165964494147756,31.8853790233738,NA,NA,0,7320,1320,180,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
7,21,10.5353592700978,4.53535927009783,0.106198885776926,26.0279233612603,0.150797042929793,28.9713826689926,NA,NA,0,8520,1520,210,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
8,24,10.6887012619276,4.68870126192755,0.101417712699156,24.85612192912,0.123370762241634,23.702199284715,NA,NA,0,9720,1720,240,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",5,9005
