"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed","donorImprove","group","donorMeanObs","donorGapObs","burnInUsed","eliteVarObs","h2","cycleYears","nBridge","bridgeBar","bridgeLag","varGxERatio"
20,60,15.2931742137208,9.29317421372081,0.0191104987241086,4.39234663210489,0.0307214008478122,5.75476079951814,11.6547453294545,2.95154133538213,31,33760,6060,990,39,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
1,3,6.19092799525621,0.190927995256212,0.331394114533433,122.417938217257,0.471652154976442,97.2296032092489,NA,NA,0,1260,260,30,0,"GSRS","GSRS_base","baseline","baseline",2,8202,0,"core",NA,NA,6,0.270707152366267,0.3,3,2,"poolMean",0,0
2,6,6.57911853209997,0.579118532099971,0.288124496895634,106.434017120391,0.419498312751604,86.4782532326713,NA,NA,0,2460,460,60,0,"GSRS","GSRS_base","baseline","baseline",2,8202,0,"core",NA,NA,6,0.270707152366267,0.3,3,2,"poolMean",0,0
3,9,7.18647277821682,1.18647277821682,0.278634472580704,102.928374867507,0.373482822982237,76.9923052420842,NA,NA,0,3660,660,90,0,"GSRS","GSRS_base","baseline","baseline",2,8202,0,"core",NA,NA,6,0.270707152366267,0.3,3,2,"poolMean",0,0
4,12,8.22209736166367,2.22209736166367,0.269709687318483,99.6315335449894,0.30709563624626,63.3067962151198,NA,NA,0,4860,860,120,0,"GSRS","GSRS_base","baseline","baseline",2,8202,0,"core",NA,NA,6,0.270707152366267,0.3,3,2,"poolMean",0,0
5,15,8.91462054041483,2.91462054041483,0.196871992811899,72.7250798846761,0.260359707172193,53.6723319355829,NA,NA,0,6060,1060,150,0,"GSRS","GSRS_base","baseline","baseline",2,8202,0,"core",NA,NA,6,0.270707152366267,0.3,3,2,"poolMean",0,0
6,18,9.42146414908726,3.42146414908726,0.183734160655887,67.8719269327968,0.230999509252349,47.6198197954993,NA,NA,0,7260,1260,180,0,"GSRS","GSRS_base","baseline","baseline",2,8202,0,"core",NA,NA,6,0.270707152366267,0.3,3,2,"poolMean",0,0
7,21,10.1289202956965,4.12892029569651,0.126882512672657,46.870764796412,0.184009551015125,37.9329882056963,NA,NA,0,8460,1460,210,0,"GSRS","GSRS_base","baseline","baseline",2,8202,0,"core",NA,NA,6,0.270707152366267,0.3,3,2,"poolMean",0,0
8,24,10.6454039461141,4.64540394611412,0.117556449969263,43.4256904339969,0.158766647553158,32.7292433238797,NA,NA,0,9660,1660,240,0,"GSRS","GSRS_base","baseline","baseline",2,8202,0,"core",NA,NA,6,0.270707152366267,0.3,3,2,"poolMean",0,0
9,27,11.0179734532966,5.01797345329656,0.0916874572945936,33.8696102017063,0.133448562393842,27.5099999724289,NA,NA,0,10860,1860,270,0,"GSRS","GSRS_base","baseline","baseline",2,8202,0,"core",NA,NA,6,0.270707152366267,0.3,3,2,"poolMean",0,0
